City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
96,Carnarvon,-24.8667,113.6333,82.4,54,100,10.36,AU,2021-04-23 07:42:49
97,Vuktyl,63.8567,57.3094,41.27,85,100,11.68,RU,2021-04-23 07:45:44
98,Pedernales,18.0384,-71.744,76.96,65,0,3.24,DO,2021-04-23 07:45:44
99,Alihe,50.5667,123.7167,49.23,23,73,7.67,CN,2021-04-23 07:45:45
100,Ibra,22.6906,58.5334,98.33,10,0,4.09,OM,2021-04-23 07:45:45
101,Kinsale,51.7075,-8.5306,48.0,81,75,18.41,IE,2021-04-23 07:45:45
102,Vagay,57.9375,69.0217,55.42,42,100,12.01,RU,2021-04-23 07:45:46
103,Bintulu,3.1667,113.0333,91.4,62,20,8.05,MY,2021-04-23 07:45:46
104,Constitucion,-35.3333,-72.4167,52.74,85,59,6.29,CL,2021-04-23 07:45:47
105,Qaanaaq,77.484,-69.3632,18.72,93,100,6.33,GL,2021-04-23 07:45:47
106,Castro,-24.7911,-50.0119,49.17,98,68,2.39,BR,2021-04-23 07:45:47
107,Iranshahr,27.2025,60.6848,95.0,14,0,4.61,IR,2021-04-23 07:45:48
108,Saldanha,-33.0117,17.9442,55.4,94,90,5.75,ZA,2021-04-23 07:45:31
109,Chuy,-33.6971,-53.4616,64.49,86,100,9.33,UY,2021-04-23 07:45:49
110,Cape Town,-33.9258,18.4232,62.6,82,75,9.22,ZA,2021-04-23 07:45:49
111,Yeppoon,-23.1333,150.7333,73.4,60,90,2.3,AU,2021-04-23 07:45:49
112,Vao,-22.6667,167.4833,75.06,69,99,11.9,NC,2021-04-23 07:45:50
113,Waw,7.7029,27.9953,91.06,42,80,3.98,SS,2021-04-23 07:45:50
114,Moctezuma,29.8,-109.6667,56.1,26,0,3.42,MX,2021-04-23 07:45:51
115,Flin Flon,54.7682,-101.865,18.32,81,9,4.85,CA,2021-04-23 07:45:08
116,Sao Felix Do Xingu,-6.6447,-51.995,71.04,98,100,1.23,BR,2021-04-23 07:45:51
