City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
557,Doha,QA,84.99,25.2867,51.5333,Movenpick Hotel Doha
559,Saint Andrews,US,73.0,34.0454,-81.1293,Baymont by Wyndham Columbia Northwest
561,Muncar,ID,75.31,-8.4333,114.3333,Zaky Homestay
562,El Vigia,VE,89.74,8.6219,-71.6506,Liceo Bolivariano 19 De Abril
567,Monrovia,LR,86.0,6.3005,-10.7969,Sunset Inn
570,Banda Aceh,ID,80.44,5.5577,95.3222,Sulthan Hotel International
571,Ambon,ID,81.0,-3.6954,128.1814,Swiss-Belhotel Ambon
573,Orangeburg,US,73.0,33.4918,-80.8557,Palmetto Inn & Suites
575,Ahuimanu,US,73.4,21.4447,-157.8378,Paradise Bay Resort
576,Luwuk,ID,75.97,-0.9516,122.7875,Hotel Santika Luwuk
577,Benguela,AO,82.69,-12.5763,13.4055,Hotel Praia Morena
